"person_id,first_name,last_name,dob,gender,postcode,phone,email"
"1,John,Doe,1990-05-15,M,2000,1234567890,johndoe@email.com"
"2,Emily,Smith,1985-12-25,F,3000,9876543210,emilysmith@email.com"
"3,David,Johnson,1972-03-03,M,4000,5678901234,davidjohnson@email.com"
"4,Lisa,Williams,1988-08-18,F,5000,4321098765,lisawilliams@email.com"
"5,Zach,Brown,1990-11-30,M,6000,3210987654,zachbrown@email.com"
"6,Michael,Turner,1985-04-20,M,2000,2109876543,michaelturner@email.com"
"7,Laura,Clark,1975-09-05,F,3000,1098765432,lauraclark@email.com"
"8,Daniel,Evans,1982-02-14,M,4000,8765432109,danielevans@email.com"
"9,Sarah,Harris,1994-06-09,F,5000,7654321098,sarahharris@email.com"
"10,Oliver,Smith,1998-02-28,M,6000,6543210987,oliversmith@email.com"
